Time,Variable,Value,,,,,
12:10:47 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:47 PM,Accessory A Type,Front Plow,,,,,
12:10:47 PM,Accessory A State,DOWN,,,,,
12:10:47 PM,Accessory B Type,Rear Spreader,,,,,
12:10:47 PM,Accessory B State,High,,,,,
12:10:47 PM,Accessory B Fill Level,68,,,,,
12:10:48 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:48 PM,GPS Location,"43.073503616757826,-89.4014809271381",,,,,
12:10:48 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:48 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:48 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:48 PM,Vehicle State 4 (Speed),5.667660674,,,,,
12:10:48 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:48 PM,Vehicle State 6 (Drive Mode),Eco,,,,,
12:10:48 PM,Accessory A Type,Front Plow,,,,,
12:10:48 PM,Accessory A State,DOWN,,,,,
12:10:48 PM,Accessory B Type,Rear Spreader,,,,,
12:10:48 PM,Accessory B State,High,,,,,
12:10:48 PM,Accessory B Fill Level,67.83333333,,,,,
12:10:48 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:48 PM,GPS Location,"43.073504329158155,-89.40148177858894",,,,,
12:10:48 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:48 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:48 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:48 PM,Vehicle State 4 (Speed),0.85344767,,,,,
12:10:48 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:48 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:48 PM,Accessory A Type,Front Plow,,,,,
12:10:48 PM,Accessory A State,DOWN,,,,,
12:10:48 PM,Accessory B Type,Rear Spreader,,,,,
12:10:48 PM,Accessory B State,High,,,,,
12:10:48 PM,Accessory B Fill Level,67.66666667,,,,,
12:10:48 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:48 PM,GPS Location,"43.07349082794917,-89.4014857747363",,,,,
12:10:48 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:48 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:48 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:48 PM,Vehicle State 4 (Speed),5.752773476,,,,,
12:10:48 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:48 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:48 PM,Accessory A Type,Front Plow,,,,,
12:10:48 PM,Accessory A State,DOWN,,,,,
12:10:48 PM,Accessory B Type,Rear Spreader,,,,,
12:10:48 PM,Accessory B State,High,,,,,
12:10:48 PM,Accessory B Fill Level,67.5,,,,,
12:10:48 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:48 PM,GPS Location,"43.07348881160111,-89.40149799010536",,,,,
12:10:48 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:48 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:48 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:48 PM,Vehicle State 4 (Speed),6.507818123,,,,,
12:10:48 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:48 PM,Vehicle State 6 (Drive Mode),Normal,,,,,
12:10:48 PM,Accessory A Type,Front Plow,,,,,
12:10:48 PM,Accessory A State,DOWN,,,,,
12:10:48 PM,Accessory B Type,Rear Spreader,,,,,
12:10:48 PM,Accessory B State,High,,,,,
12:10:48 PM,Accessory B Fill Level,67.33333333,,,,,
12:10:48 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:48 PM,GPS Location,"43.07346949649781,-89.40149633361568",,,,,
12:10:48 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:48 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:48 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:48 PM,Vehicle State 4 (Speed),7.065145968,,,,,
12:10:48 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:48 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:48 PM,Accessory A Type,Front Plow,,,,,
12:10:48 PM,Accessory A State,DOWN,,,,,
12:10:48 PM,Accessory B Type,Rear Spreader,,,,,
12:10:48 PM,Accessory B State,High,,,,,
12:10:48 PM,Accessory B Fill Level,67.16666667,,,,,
12:10:48 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:48 PM,GPS Location,"43.07346913455451,-89.4014959448202",,,,,
12:10:48 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:48 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:48 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:48 PM,Vehicle State 4 (Speed),0.314969292,,,,,
12:10:48 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:48 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:48 PM,Accessory A Type,Front Plow,,,,,
12:10:48 PM,Accessory A State,DOWN,,,,,
12:10:48 PM,Accessory B Type,Rear Spreader,,,,,
12:10:48 PM,Accessory B State,High,,,,,
12:10:48 PM,Accessory B Fill Level,67,,,,,
12:10:48 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:48 PM,GPS Location,"43.07347603165389,-89.40148584735961",,,,,
12:10:48 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:48 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:48 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:48 PM,Vehicle State 4 (Speed),5.914850509,,,,,
12:10:48 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:48 PM,Vehicle State 6 (Drive Mode),Eco,,,,,
12:10:48 PM,Accessory A Type,Front Plow,,,,,
12:10:48 PM,Accessory A State,DOWN,,,,,
12:10:48 PM,Accessory B Type,Rear Spreader,,,,,
12:10:48 PM,Accessory B State,High,,,,,
12:10:48 PM,Accessory B Fill Level,66.83333333,,,,,
12:10:48 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:48 PM,GPS Location,"43.07347649156711,-89.40148629075662",,,,,
12:10:48 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:48 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:48 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:48 PM,Vehicle State 4 (Speed),0.166129867,,,,,
12:10:48 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:48 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:48 PM,Accessory A Type,Front Plow,,,,,
12:10:48 PM,Accessory A State,DOWN,,,,,
12:10:48 PM,Accessory B Type,Rear Spreader,,,,,
12:10:48 PM,Accessory B State,High,,,,,
12:10:48 PM,Accessory B Fill Level,66.66666667,,,,,
12:10:48 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:48 PM,GPS Location,"43.07347227520134,-89.40149056962018",,,,,
12:10:48 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:48 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:48 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:48 PM,Vehicle State 4 (Speed),1.642605686,,,,,
12:10:48 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:48 PM,Vehicle State 6 (Drive Mode),Normal,,,,,
12:10:48 PM,Accessory A Type,Front Plow,,,,,
12:10:48 PM,Accessory A State,DOWN,,,,,
12:10:48 PM,Accessory B Type,Rear Spreader,,,,,
12:10:48 PM,Accessory B State,High,,,,,
12:10:48 PM,Accessory B Fill Level,66.5,,,,,
12:10:48 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:48 PM,GPS Location,"43.07347346569615,-89.40149289332841",,,,,
12:10:48 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:48 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:48 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:48 PM,Vehicle State 4 (Speed),1.173140507,,,,,
12:10:48 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:48 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:48 PM,Accessory A Type,Front Plow,,,,,
12:10:48 PM,Accessory A State,DOWN,,,,,
12:10:48 PM,Accessory B Type,Rear Spreader,,,,,
12:10:48 PM,Accessory B State,High,,,,,
12:10:48 PM,Accessory B Fill Level,66.33333333,,,,,
12:10:49 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:49 PM,GPS Location,"43.07345580374839,-89.4014970393513",,,,,
12:10:49 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:49 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:49 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:49 PM,Vehicle State 4 (Speed),8.263965773,,,,,
12:10:49 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:49 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:49 PM,Accessory A Type,Front Plow,,,,,
12:10:49 PM,Accessory A State,DOWN,,,,,
12:10:49 PM,Accessory B Type,Rear Spreader,,,,,
12:10:49 PM,Accessory B State,High,,,,,
12:10:49 PM,Accessory B Fill Level,66.16666667,,,,,
12:10:49 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:49 PM,GPS Location,"43.07345576502658,-89.40149741853227",,,,,
12:10:49 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:49 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:49 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:49 PM,Vehicle State 4 (Speed),0.476764012,,,,,
12:10:49 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:49 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:49 PM,Accessory A Type,Front Plow,,,,,
12:10:49 PM,Accessory A State,DOWN,,,,,
12:10:49 PM,Accessory B Type,Rear Spreader,,,,,
12:10:49 PM,Accessory B State,High,,,,,
12:10:49 PM,Accessory B Fill Level,66,,,,,
12:10:49 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:49 PM,GPS Location,"43.073444505142405,-89.40150359098476",,,,,
12:10:49 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:49 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:49 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:49 PM,Vehicle State 4 (Speed),4.281039483,,,,,
12:10:49 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:49 PM,Vehicle State 6 (Drive Mode),Eco,,,,,
12:10:49 PM,Accessory A Type,Front Plow,,,,,
12:10:49 PM,Accessory A State,DOWN,,,,,
12:10:49 PM,Accessory B Type,Rear Spreader,,,,,
12:10:49 PM,Accessory B State,High,,,,,
12:10:49 PM,Accessory B Fill Level,65.83333333,,,,,
12:10:49 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:49 PM,GPS Location,"43.073451677535374,-89.40151639481891",,,,,
12:10:49 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:49 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:49 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:49 PM,Vehicle State 4 (Speed),7.578913661,,,,,
12:10:49 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:49 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:49 PM,Accessory A Type,Front Plow,,,,,
12:10:49 PM,Accessory A State,DOWN,,,,,
12:10:49 PM,Accessory B Type,Rear Spreader,,,,,
12:10:49 PM,Accessory B State,High,,,,,
12:10:49 PM,Accessory B Fill Level,65.66666667,,,,,
12:10:49 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:49 PM,GPS Location,"43.07345386594361,-89.40152017944331",,,,,
12:10:49 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:49 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:49 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:49 PM,Vehicle State 4 (Speed),4.777493147,,,,,
12:10:49 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:49 PM,Vehicle State 6 (Drive Mode),Eco,,,,,
12:10:49 PM,Accessory A Type,Front Plow,,,,,
12:10:49 PM,Accessory A State,DOWN,,,,,
12:10:49 PM,Accessory B Type,Rear Spreader,,,,,
12:10:49 PM,Accessory B State,High,,,,,
12:10:49 PM,Accessory B Fill Level,65.5,,,,,
12:10:49 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:49 PM,GPS Location,"43.07345010808354,-89.40152739983063",,,,,
12:10:49 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:49 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:49 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:49 PM,Vehicle State 4 (Speed),4.951224846,,,,,
12:10:49 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:49 PM,Vehicle State 6 (Drive Mode),Normal,,,,,
12:10:49 PM,Accessory A Type,Front Plow,,,,,
12:10:49 PM,Accessory A State,DOWN,,,,,
12:10:49 PM,Accessory B Type,Rear Spreader,,,,,
12:10:49 PM,Accessory B State,High,,,,,
12:10:49 PM,Accessory B Fill Level,65.33333333,,,,,
12:10:49 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:49 PM,GPS Location,"43.07345090840428,-89.40152039759458",,,,,
12:10:49 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:49 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:49 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:49 PM,Vehicle State 4 (Speed),5.962399677,,,,,
12:10:49 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:49 PM,Vehicle State 6 (Drive Mode),Eco,,,,,
12:10:49 PM,Accessory A Type,Front Plow,,,,,
12:10:49 PM,Accessory A State,DOWN,,,,,
12:10:49 PM,Accessory B Type,Rear Spreader,,,,,
12:10:49 PM,Accessory B State,High,,,,,
12:10:49 PM,Accessory B Fill Level,65.16666667,,,,,
12:10:49 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:49 PM,GPS Location,"43.073461231925855,-89.40152612747471",,,,,
12:10:49 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:49 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:49 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:49 PM,Vehicle State 4 (Speed),7.537581759,,,,,
12:10:49 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:49 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:49 PM,Accessory A Type,Front Plow,,,,,
12:10:49 PM,Accessory A State,DOWN,,,,,
12:10:49 PM,Accessory B Type,Rear Spreader,,,,,
12:10:49 PM,Accessory B State,High,,,,,
12:10:49 PM,Accessory B Fill Level,65,,,,,
12:10:49 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:49 PM,GPS Location,"43.07345874486153,-89.4015207580635",,,,,
12:10:49 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:49 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:49 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:49 PM,Vehicle State 4 (Speed),3.176633031,,,,,
12:10:49 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:49 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:49 PM,Accessory A Type,Front Plow,,,,,
12:10:49 PM,Accessory A State,DOWN,,,,,
12:10:49 PM,Accessory B Type,Rear Spreader,,,,,
12:10:49 PM,Accessory B State,High,,,,,
12:10:49 PM,Accessory B Fill Level,64.83333333,,,,,
12:10:49 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:49 PM,GPS Location,"43.07345164028174,-89.40149578298357",,,,,
12:10:49 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:49 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:49 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:49 PM,Vehicle State 4 (Speed),9.071632061,,,,,
12:10:49 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:49 PM,Vehicle State 6 (Drive Mode),Eco,,,,,
12:10:49 PM,Accessory A Type,Front Plow,,,,,
12:10:49 PM,Accessory A State,DOWN,,,,,
12:10:49 PM,Accessory B Type,Rear Spreader,,,,,
12:10:49 PM,Accessory B State,High,,,,,
12:10:49 PM,Accessory B Fill Level,64.66666667,,,,,
12:10:50 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:50 PM,GPS Location,"43.07345795111224,-89.4014905619368",,,,,
12:10:50 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:50 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:50 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:50 PM,Vehicle State 4 (Speed),2.919503403,,,,,
12:10:50 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:50 PM,Vehicle State 6 (Drive Mode),Normal,,,,,
12:10:50 PM,Accessory A Type,Front Plow,,,,,
12:10:50 PM,Accessory A State,DOWN,,,,,
12:10:50 PM,Accessory B Type,Rear Spreader,,,,,
12:10:50 PM,Accessory B State,High,,,,,
12:10:50 PM,Accessory B Fill Level,64.5,,,,,
12:10:50 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:50 PM,GPS Location,"43.073454255874694,-89.40147672330335",,,,,
12:10:50 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:50 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:50 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:50 PM,Vehicle State 4 (Speed),5.677804389,,,,,
12:10:50 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:50 PM,Vehicle State 6 (Drive Mode),Eco,,,,,
12:10:50 PM,Accessory A Type,Front Plow,,,,,
12:10:50 PM,Accessory A State,DOWN,,,,,
12:10:50 PM,Accessory B Type,Rear Spreader,,,,,
12:10:50 PM,Accessory B State,High,,,,,
12:10:50 PM,Accessory B Fill Level,64.33333333,,,,,
12:10:50 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:50 PM,GPS Location,"43.07343841014286,-89.40147624285187",,,,,
12:10:50 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:50 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:50 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:50 PM,Vehicle State 4 (Speed),9.625587013,,,,,
12:10:50 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:50 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:50 PM,Accessory A Type,Front Plow,,,,,
12:10:50 PM,Accessory A State,DOWN,,,,,
12:10:50 PM,Accessory B Type,Rear Spreader,,,,,
12:10:50 PM,Accessory B State,High,,,,,
12:10:50 PM,Accessory B Fill Level,64.16666667,,,,,
12:10:50 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:50 PM,GPS Location,"43.073437539630696,-89.40148470272851",,,,,
12:10:50 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:50 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:50 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:50 PM,Vehicle State 4 (Speed),3.059145133,,,,,
12:10:50 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:50 PM,Vehicle State 6 (Drive Mode),Normal,,,,,
12:10:50 PM,Accessory A Type,Front Plow,,,,,
12:10:50 PM,Accessory A State,DOWN,,,,,
12:10:50 PM,Accessory B Type,Rear Spreader,,,,,
12:10:50 PM,Accessory B State,High,,,,,
12:10:50 PM,Accessory B Fill Level,64,,,,,
12:10:50 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:50 PM,GPS Location,"43.073435975010476,-89.40148448907132",,,,,
12:10:50 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:50 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:50 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:50 PM,Vehicle State 4 (Speed),1.313585589,,,,,
12:10:50 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:50 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:50 PM,Accessory A Type,Front Plow,,,,,
12:10:50 PM,Accessory A State,DOWN,,,,,
12:10:50 PM,Accessory B Type,Rear Spreader,,,,,
12:10:50 PM,Accessory B State,High,,,,,
12:10:50 PM,Accessory B Fill Level,63.83333333,,,,,
12:10:50 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:50 PM,GPS Location,"43.07345121109553,-89.40149649122677",,,,,
12:10:50 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:50 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:50 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:50 PM,Vehicle State 4 (Speed),6.039408999,,,,,
12:10:50 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:50 PM,Vehicle State 6 (Drive Mode),Eco,,,,,
12:10:50 PM,Accessory A Type,Front Plow,,,,,
12:10:50 PM,Accessory A State,DOWN,,,,,
12:10:50 PM,Accessory B Type,Rear Spreader,,,,,
12:10:50 PM,Accessory B State,High,,,,,
12:10:50 PM,Accessory B Fill Level,63.66666667,,,,,
12:10:50 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:50 PM,GPS Location,"43.073430058031974,-89.40149403007017",,,,,
12:10:50 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:50 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:50 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:50 PM,Vehicle State 4 (Speed),7.707288159,,,,,
12:10:50 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:50 PM,Vehicle State 6 (Drive Mode),Normal,,,,,
12:10:50 PM,Accessory A Type,Front Plow,,,,,
12:10:50 PM,Accessory A State,DOWN,,,,,
12:10:50 PM,Accessory B Type,Rear Spreader,,,,,
12:10:50 PM,Accessory B State,High,,,,,
12:10:50 PM,Accessory B Fill Level,63.5,,,,,
12:10:50 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:50 PM,GPS Location,"43.073436543450526,-89.4014953307763",,,,,
12:10:50 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:50 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:50 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:50 PM,Vehicle State 4 (Speed),2.623427911,,,,,
12:10:50 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:50 PM,Vehicle State 6 (Drive Mode),Eco,,,,,
12:10:50 PM,Accessory A Type,Front Plow,,,,,
12:10:50 PM,Accessory A State,DOWN,,,,,
12:10:50 PM,Accessory B Type,Rear Spreader,,,,,
12:10:50 PM,Accessory B State,High,,,,,
12:10:50 PM,Accessory B Fill Level,63.33333333,,,,,
12:10:50 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:50 PM,GPS Location,"43.07343811377441,-89.40149574461856",,,,,
12:10:50 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:50 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:50 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:50 PM,Vehicle State 4 (Speed),1.288878907,,,,,
12:10:50 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:50 PM,Vehicle State 6 (Drive Mode),Normal,,,,,
12:10:50 PM,Accessory A Type,Front Plow,,,,,
12:10:50 PM,Accessory A State,DOWN,,,,,
12:10:50 PM,Accessory B Type,Rear Spreader,,,,,
12:10:50 PM,Accessory B State,High,,,,,
12:10:50 PM,Accessory B Fill Level,63.16666667,,,,,
12:10:50 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:50 PM,GPS Location,"43.07343353583394,-89.40149486703754",,,,,
12:10:50 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:50 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:50 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:50 PM,Vehicle State 4 (Speed),3.661601896,,,,,
12:10:50 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:50 PM,Vehicle State 6 (Drive Mode),Eco,,,,,
12:10:50 PM,Accessory A Type,Front Plow,,,,,
12:10:50 PM,Accessory A State,DOWN,,,,,
12:10:50 PM,Accessory B Type,Rear Spreader,,,,,
12:10:50 PM,Accessory B State,High,,,,,
12:10:50 PM,Accessory B Fill Level,63,,,,,
12:10:51 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:51 PM,GPS Location,"43.0734157040404,-89.40150987434576",,,,,
12:10:51 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:51 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:51 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:51 PM,Vehicle State 4 (Speed),7.810214309,,,,,
12:10:51 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:51 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:51 PM,Accessory A Type,Front Plow,,,,,
12:10:51 PM,Accessory A State,DOWN,,,,,
12:10:51 PM,Accessory B Type,Rear Spreader,,,,,
12:10:51 PM,Accessory B State,High,,,,,
12:10:51 PM,Accessory B Fill Level,62.83333333,,,,,
12:10:51 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:51 PM,GPS Location,"43.07342185007407,-89.40150768727923",,,,,
12:10:51 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:51 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:51 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:51 PM,Vehicle State 4 (Speed),4.916598143,,,,,
12:10:51 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:51 PM,Vehicle State 6 (Drive Mode),Eco,,,,,
12:10:51 PM,Accessory A Type,Front Plow,,,,,
12:10:51 PM,Accessory A State,DOWN,,,,,
12:10:51 PM,Accessory B Type,Rear Spreader,,,,,
12:10:51 PM,Accessory B State,High,,,,,
12:10:51 PM,Accessory B Fill Level,62.66666667,,,,,
12:10:51 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:51 PM,GPS Location,"43.07342434458767,-89.40152894675646",,,,,
12:10:51 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:51 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:51 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:51 PM,Vehicle State 4 (Speed),8.712569225,,,,,
12:10:51 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:51 PM,Vehicle State 6 (Drive Mode),Eco,,,,,
12:10:51 PM,Accessory A Type,Front Plow,,,,,
12:10:51 PM,Accessory A State,DOWN,,,,,
12:10:51 PM,Accessory B Type,Rear Spreader,,,,,
12:10:51 PM,Accessory B State,High,,,,,
12:10:51 PM,Accessory B Fill Level,62.5,,,,,
12:10:51 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:51 PM,GPS Location,"43.073428501704335,-89.40154321368927",,,,,
